"x","y"
303540.566712686,5988223.43743673
319997.633750031,5988552.57877748
328555.30860945,5979007.47989582
334150.711402147,5963208.69553997
337771.266150363,5959588.14079175
336125.559446628,5938193.95364321
370685.400225051,5937864.81230246
373318.530951027,5919762.03856138
371343.682906545,5919432.89722063
372001.965588039,5914824.91845018
384509.336536421,5914824.91845018
396029.283462562,5911533.50504271
398333.27284779,5900013.55811657
396358.424803309,5896722.1447091
397016.707484802,5882898.20839773
418081.753292603,5857225.18381947
431247.406922479,5843401.2475081
432563.972285466,5822994.48438179
416765.187929616,5823652.76706329
415448.622566628,5837805.8447154
406232.665025715,5853275.48773051
392079.587373599,5863149.72795292
380230.499106711,5867757.70672337
363444.29072862,5870719.97879009
333821.5700614,5871378.26147159
333821.5700614,5875657.0989013
334808.994083641,5882569.06705698
329213.591290943,5881581.64303474
327897.025927956,5878290.22962727
321643.340453765,5883227.34973848
325263.895201981,5893101.58996088
319339.351068537,5912520.92906495
311769.100231358,5929965.42012453
303540.566712686,5936219.10559872
302224.001349699,5946422.48716188
310781.676209118,5946093.34582113
312098.241572105,5952676.17263607
302553.142690445,5964196.11956221
302553.142690445,5975057.78380686
